,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85739,Margin of Error,+/-129,+/-100,+/-142,+/-126,+/-122,+/-131,+/-110,+/-131,+/-149,+/-152,+/-247,+/-207,+/-159,+/-170,+/-133,+/-92,0
ZCTA5 85741,Estimate,804,432,558,549,844,996,795,748,659,1198,1471,2021,1045,442,375,141,13078
ZCTA5 85741,Margin of Error,+/-198,+/-138,+/-162,+/-157,+/-190,+/-251,+/-189,+/-201,+/-172,+/-191,+/-258,+/-300,+/-225,+/-117,+/-141,+/-74,0
ZCTA5 85742,Estimate,210,204,278,386,247,366,496,299,330,919,1316,1682,1227,492,431,380,9263
ZCTA5 85742,Margin of Error,+/-107,+/-107,+/-121,+/-149,+/-90,+/-105,+/-125,+/-93,+/-106,+/-162,+/-216,+/-250,+/-178,+/-131,+/-131,+/-123,0
ZCTA5 85743,Estimate,399,206,332,378,439,681,553,630,295,651,1476,1905,1213,690,561,614,11023
ZCTA5 85743,Margin of Error,+/-143,+/-105,+/-133,+/-166,+/-133,+/-221,+/-170,+/-244,+/-127,+/-185,+/-297,+/-343,+/-253,+/-216,+/-178,+/-209,0
ZCTA5 85745,Estimate,1338,1168,818,731,1025,719,641,722,582,888,1316,1890,1044,798,764,448,14892
ZCTA5 85745,Margin of Error,+/-234,+/-231,+/-165,+/-182,+/-234,+/-153,+/-199,+/-185,+/-155,+/-179,+/-250,+/-239,+/-218,+/-183,+/-159,+/-127,0
ZCTA5 85746,Estimate,1313,753,859,914,865,819,819,1078,798,1130,1543,1278,745,284,188,69,13455
ZCTA5 85746,Margin of Error,+/-236,+/-180,+/-210,+/-218,+/-233,+/-199,+/-185,+/-278,+/-193,+/-181,+/-291,+/-241,+/-173,+/-120,+/-86,+/-45,0
ZCTA5 85747,Estimate,70,65,80,262,243,183,267,312,327,749,1125,1209,1455,852,621,259,8079
ZCTA5 85747,Margin of Error,+/-41,+/-42,+/-47,+/-113,+/-96,+/-73,+/-78,+/-136,+/-125,+/-215,+/-194,+/-195,+/-248,+/-181,+/-150,+/-128,0
ZCTA5 85748,Estimate,242,193,225,229,366,380,287,360,292,757,881,1109,648,553,471,207,7200
ZCTA5 85748,Margin of Error,+/-92,+/-112,+/-107,+/-107,+/-120,+/-120,+/-90,+/-108,+/-105,+/-213,+/-190,+/-220,+/-147,+/-148,+/-131,+/-66,0
ZCTA5 85749,Estimate,203,152,217,251,215,237,197,281,167,577,687,1144,1067,580,741,871,7587
ZCTA5 85749,Margin of Error,+/-76,+/-62,+/-82,+/-91,+/-83,+/-78,+/-66,+/-99,+/-55,+/-139,+/-121,+/-146,+/-158,+/-121,+/-130,+/-145,0
ZCTA5 85750,Estimate,412,287,377,613,531,544,200,469,475,576,1222,1649,886,658,869,1409,11177
ZCTA5 85750,Margin of Error,+/-163,+/-93,+/-104,+/-178,+/-144,+/-178,+/-68,+/-144,+/-148,+/-130,+/-230,+/-275,+/-213,+/-181,+/-178,+/-220,0
ZCTA5 85755,Estimate,212,134,114,240,273,320,244,280,176,466,568,960,842,547,543,596,6515
ZCTA5 85755,Margin of Error,+/-116,+/-100,+/-67,+/-100,+/-124,+/-148,+/-102,+/-94,+/-88,+/-161,+/-139,+/-198,+/-191,+/-164,+/-136,+/-203,0
ZCTA5 85756,Estimate,611,345,721,639,577,582,509,771,553,764,1207,1285,659,324,73,46,9666
ZCTA5 85756,Margin of Error,+/-197,+/-120,+/-181,+/-203,+/-161,+/-134,+/-184,+/-219,+/-154,+/-162,+/-270,+/-252,+/-214,+/-144,+/-73,+/-37,0
ZCTA5 85757,Estimate,356,194,288,328,383,170,295,166,323,684,644,723,481,161,123,24,5343
ZCTA5 85757,Margin of Error,+/-119,+/-80,+/-108,+/-109,+/-115,+/-60,+/-140,+/-88,+/-127,+/-192,+/-162,+/-174,+/-195,+/-85,+/-67,+/-31,0
ZCTA5 85901,Estimate,554,626,379,485,631,350,243,440,274,533,603,832,273,160,111,104,6598
ZCTA5 85901,Margin of Error,+/-130,+/-158,+/-140,+/-142,+/-169,+/-133,+/-128,+/-122,+/-125,+/-149,+/-170,+/-221,+/-118,+/-96,+/-63,+/-68,0
ZCTA5 85911,Estimate,224,8,14,8,76,16,19,13,37,7,0,39,0,0,0,0,461
ZCTA5 85911,Margin of Error,+/-76,+/-13,+/-16,+/-12,+/-35,+/-19,+/-25,+/-15,+/-28,+/-13,+/-13,+/-45,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 85912,Estimate,0,0,0,43,0,0,0,17,17,0,0,0,0,0,0,0,77
ZCTA5 85912,Margin of Error,+/-13,+/-13,+/-13,+/-50,+/-13,+/-13,+/-13,+/-29,+/-28,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 85920,Estimate,18,19,22,10,11,15,6,23,0,18,6,37,19,4,13,0,221
ZCTA5 85920,Margin of Error,+/-20,+/-21,+/-21,+/-12,+/-17,+/-19,+/-11,+/-21,+/-13,+/-14,+/-10,+/-24,+/-21,+/-7,+/-16,+/-13,0
ZCTA5 85922,Estimate,2,10,0,0,0,6,0,0,0,2,0,1,4,0,0,5,30
ZCTA5 85922,Margin of Error,+/-4,+/-10,+/-13,+/-13,+/-13,+/-8,+/-13,+/-13,+/-13,+/-4,+/-13,+/-3,+/-7,+/-13,+/-13,+/-8,0
ZCTA5 85923,Estimate,28,86,0,0,0,0,17,31,0,0,13,15,12,0,0,0,202
ZCTA5 85923,Margin of Error,+/-30,+/-59,+/-13,+/-13,+/-13,+/-13,+/-27,+/-50,+/-13,+/-13,+/-21,+/-24,+/-19,+/-13,+/-13,+/-13,0
ZCTA5 85924,Estimate,102,44,155,69,50,108,55,111,47,41,83,101,56,0,13,0,1035
ZCTA5 85924,Margin of Error,+/-50,+/-24,+/-80,+/-41,+/-45,+/-60,+/-45,+/-64,+/-43,+/-28,+/-59,+/-61,+/-47,+/-13,+/-20,+/-13,0
ZCTA5 85925,Estimate,36,77,97,37,79,85,128,40,87,215,105,167,101,66,96,0,1416
ZCTA5 85925,Margin of Error,+/-40,+/-50,+/-81,+/-46,+/-52,+/-67,+/-94,+/-49,+/-66,+/-105,+/-66,+/-81,+/-70,+/-72,+/-65,+/-13,0
ZCTA5 85926,Estimate,11,0,0,5,0,6,5,0,0,10,7,0,5,12,0,0,61
ZCTA5 85926,Margin of Error,+/-12,+/-13,+/-13,+/-9,+/-13,+/-10,+/-8,+/-13,+/-13,+/-10,+/-10,+/-13,+/-9,+/-13,+/-13,+/-13,0
ZCTA5 85927,Estimate,0,0,0,0,0,12,1,14,0,0,8,0,0,0,0,0,35
ZCTA5 85927,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-18,+/-2,+/-22,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 85928,Estimate,42,44,72,45,117,63,0,38,0,0,14,22,0,0,0,0,457
ZCTA5 85928,Margin of Error,+/-49,+/-65,+/-48,+/-40,+/-99,+/-74,+/-13,+/-42,+/-13,+/-13,+/-24,+/-30,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 85929,Estimate,376,116,174,170,195,290,104,160,107,178,476,269,174,112,109,66,3076
ZCTA5 85929,Margin of Error,+/-139,+/-84,+/-89,+/-110,+/-113,+/-124,+/-67,+/-74,+/-71,+/-89,+/-147,+/-116,+/-113,+/-87,+/-77,+/-62,0
ZCTA5 85930,Estimate,12,12,15,34,17,8,19,10,13,27,24,44,0,0,4,0,239
ZCTA5 85930,Margin of Error,+/-8,+/-11,+/-15,+/-18,+/-16,+/-7,+/-19,+/-8,+/-17,+/-22,+/-25,+/-24,+/-13,+/-13,+/-5,+/-13,0
ZCTA5 85931,Estimate,10,7,0,2,18,21,7,0,8,0,8,7,0,0,0,10,98
ZCTA5 85931,Margin of Error,+/-16,+/-11,+/-13,+/-4,+/-20,+/-20,+/-10,+/-13,+/-11,+/-13,+/-13,+/-11,+/-13,+/-13,+/-13,+/-16,0
ZCTA5 85932,Estimate,31,0,0,24,60,0,0,0,0,36,37,0,0,0,0,14,202
ZCTA5 85932,Margin of Error,+/-45,+/-13,+/-13,+/-36,+/-70,+/-13,+/-13,+/-13,+/-13,+/-29,+/-56,+/-13,+/-13,+/-13,+/-13,+/-22,0
ZCTA5 85933,Estimate,136,131,57,53,47,44,38,6,28,128,121,93,44,22,0,13,961
ZCTA5 85933,Margin of Error,+/-77,+/-91,+/-46,+/-48,+/-42,+/-43,+/-42,+/-9,+/-28,+/-90,+/-98,+/-60,+/-42,+/-27,+/-13,+/-2,0
ZCTA5 85934,Estimate,11,0,35,0,26,0,20,0,0,30,14,32,0,19,0,0,187
ZCTA5 85934,Margin of Error,+/-17,+/-13,+/-54,+/-13,+/-40,+/-13,+/-25,+/-13,+/-13,+/-34,+/-22,+/-33,+/-13,+/-22,+/-13,+/-13,0
ZCTA5 85935,Estimate,174,49,48,96,74,107,87,102,73,184,442,283,161,83,103,97,2163
ZCTA5 85935,Margin of Error,+/-97,+/-54,+/-41,+/-81,+/-54,+/-72,+/-52,+/-51,+/-54,+/-95,+/-155,+/-113,+/-81,+/-59,+/-60,+/-69,0
ZCTA5 85936,Estimate,132,54,151,64,179,118,86,153,0,94,91,133,112,51,28,6,1452
ZCTA5 85936,Margin of Error,+/-88,+/-67,+/-100,+/-52,+/-101,+/-91,+/-61,+/-87,+/-13,+/-61,+/-98,+/-82,+/-89,+/-65,+/-28,+/-9,0
ZCTA5 85937,Estimate,265,89,174,122,85,163,87,59,171,266,409,313,119,185,18,0,2525
ZCTA5 85937,Margin of Error,+/-136,+/-74,+/-90,+/-95,+/-63,+/-97,+/-61,+/-69,+/-125,+/-116,+/-156,+/-123,+/-88,+/-113,+/-29,+/-18,0
ZCTA5 85938,Estimate,71,138,70,17,32,11,54,34,16,91,53,124,28,24,6,8,777
ZCTA5 85938,Margin of Error,+/-35,+/-94,+/-33,+/-17,+/-28,+/-11,+/-35,+/-25,+/-18,+/-54,+/-31,+/-58,+/-23,+/-22,+/-9,+/-9,0
ZCTA5 85939,Estimate,82,95,25,43,58,46,77,52,83,290,232,241,49,38,20,52,1483
ZCTA5 85939,Margin of Error,+/-53,+/-66,+/-27,+/-41,+/-54,+/-45,+/-54,+/-49,+/-59,+/-113,+/-78,+/-72,+/-36,+/-37,+/-22,+/-47,0
ZCTA5 85940,Estimate,53,28,26,34,8,4,36,11,25,100,19,37,40,5,10,5,441
ZCTA5 85940,Margin of Error,+/-32,+/-22,+/-23,+/-27,+/-13,+/-7,+/-26,+/-13,+/-28,+/-61,+/-17,+/-30,+/-33,+/-9,+/-15,+/-9,0
ZCTA5 85941,Estimate,588,151,258,200,151,148,206,81,137,166,202,101,83,7,50,7,2536
ZCTA5 85941,Margin of Error,+/-118,+/-61,+/-71,+/-53,+/-63,+/-74,+/-70,+/-51,+/-67,+/-53,+/-79,+/-48,+/-52,+/-12,+/-48,+/-12,0
ZCTA5 85942,Estimate,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37
ZCTA5 85942,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-61,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86001,Estimate,1996,1173,949,903,836,898,658,782,705,1162,1515,1998,1158,780,690,630,16833
ZCTA5 86001,Margin of Error,+/-311,+/-286,+/-242,+/-193,+/-196,+/-215,+/-178,+/-181,+/-193,+/-229,+/-311,+/-311,+/-208,+/-167,+/-153,+/-191,0
ZCTA5 86003,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 86003,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86004,Estimate,653,561,497,623,689,625,767,488,514,1294,1224,1984,1256,766,843,555,13339
ZCTA5 86004,Margin of Error,+/-187,+/-171,+/-171,+/-186,+/-205,+/-171,+/-231,+/-184,+/-151,+/-255,+/-194,+/-333,+/-217,+/-165,+/-176,+/-146,0
ZCTA5 86011,Estimate,42,12,0,32,0,0,0,23,0,0,0,0,0,0,0,0,109
ZCTA5 86011,Margin of Error,+/-48,+/-19,+/-18,+/-40,+/-18,+/-18,+/-18,+/-5,+/-18,+/-18,+/-18,+/-18,+/-18,+/-18,+/-18,+/-18,0
ZCTA5 86015,Estimate,0,0,0,0,0,0,0,0,0,0,44,48,0,0,0,0,92
ZCTA5 86015,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-71,+/-74,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86016,Estimate,10,4,0,8,4,4,0,0,0,0,0,0,0,0,0,0,30
ZCTA5 86016,Margin of Error,+/-8,+/-6,+/-13,+/-9,+/-6,+/-6,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86017,Estimate,10,36,0,22,52,46,0,0,0,21,26,51,34,0,26,0,324
ZCTA5 86017,Margin of Error,+/-14,+/-43,+/-13,+/-35,+/-58,+/-52,+/-13,+/-13,+/-13,+/-24,+/-42,+/-59,+/-39,+/-13,+/-40,+/-13,0
ZCTA5 86018,Estimate,33,6,12,0,10,50,17,25,10,10,41,36,7,26,0,4,287
ZCTA5 86018,Margin of Error,+/-31,+/-9,+/-20,+/-13,+/-15,+/-39,+/-23,+/-28,+/-16,+/-15,+/-35,+/-22,+/-11,+/-25,+/-13,+/-6,0
ZCTA5 86020,Estimate,141,55,66,18,25,31,31,57,28,41,44,37,24,0,13,5,616
ZCTA5 86020,Margin of Error,+/-36,+/-24,+/-21,+/-11,+/-18,+/-21,+/-17,+/-52,+/-22,+/-32,+/-21,+/-17,+/-15,+/-13,+/-12,+/-8,0
ZCTA5 86021,Estimate,148,41,39,65,69,52,24,54,46,21,58,55,40,0,42,10,764
ZCTA5 86021,Margin of Error,+/-57,+/-30,+/-29,+/-44,+/-44,+/-32,+/-17,+/-33,+/-32,+/-23,+/-32,+/-31,+/-32,+/-18,+/-37,+/-17,0
ZCTA5 86022,Estimate,52,60,64,78,57,22,61,33,57,72,150,129,36,7,9,0,887
ZCTA5 86022,Margin of Error,+/-51,+/-38,+/-38,+/-39,+/-33,+/-18,+/-40,+/-27,+/-41,+/-47,+/-74,+/-51,+/-23,+/-7,+/-15,+/-13,0
ZCTA5 86023,Estimate,0,44,169,17,64,48,0,20,58,5,53,14,51,21,0,5,569
ZCTA5 86023,Margin of Error,+/-13,+/-59,+/-114,+/-19,+/-68,+/-56,+/-13,+/-30,+/-68,+/-8,+/-81,+/-15,+/-44,+/-22,+/-13,+/-8,0
ZCTA5 86024,Estimate,22,17,10,3,3,15,16,19,0,4,22,66,35,13,4,2,251
ZCTA5 86024,Margin of Error,+/-22,+/-20,+/-12,+/-5,+/-4,+/-13,+/-22,+/-18,+/-13,+/-5,+/-16,+/-40,+/-31,+/-21,+/-5,+/-3,0
ZCTA5 86025,Estimate,203,136,67,114,140,127,82,54,24,210,201,212,213,57,24,12,1876
ZCTA5 86025,Margin of Error,+/-72,+/-62,+/-47,+/-64,+/-75,+/-64,+/-51,+/-43,+/-26,+/-81,+/-89,+/-83,+/-74,+/-40,+/-32,+/-19,0
ZCTA5 86028,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 86028,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86029,Estimate,34,82,0,0,9,0,0,10,0,0,0,0,0,0,0,0,135
ZCTA5 86029,Margin of Error,+/-55,+/-55,+/-13,+/-13,+/-14,+/-13,+/-13,+/-11,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86030,Estimate,62,28,16,16,20,76,50,38,17,48,52,29,0,2,19,0,473
ZCTA5 86030,Margin of Error,+/-31,+/-19,+/-25,+/-13,+/-20,+/-51,+/-39,+/-26,+/-16,+/-32,+/-39,+/-17,+/-13,+/-3,+/-15,+/-13,0
ZCTA5 86031,Estimate,184,91,27,39,19,56,29,27,31,14,8,13,5,2,3,0,548
ZCTA5 86031,Margin of Error,+/-34,+/-23,+/-14,+/-16,+/-11,+/-25,+/-14,+/-13,+/-17,+/-8,+/-8,+/-12,+/-6,+/-4,+/-4,+/-13,0
ZCTA5 86032,Estimate,34,7,24,23,30,20,14,30,17,61,46,29,24,16,12,0,387
ZCTA5 86032,Margin of Error,+/-27,+/-11,+/-21,+/-27,+/-28,+/-19,+/-13,+/-19,+/-17,+/-32,+/-37,+/-25,+/-20,+/-13,+/-14,+/-13,0
ZCTA5 86033,Estimate,602,161,142,266,106,64,139,66,31,124,102,101,92,10,2,15,2023
ZCTA5 86033,Margin of Error,+/-120,+/-53,+/-53,+/-85,+/-42,+/-34,+/-64,+/-34,+/-25,+/-68,+/-43,+/-49,+/-42,+/-15,+/-3,+/-19,0
ZCTA5 86034,Estimate,149,55,53,49,32,17,12,45,18,42,28,33,2,5,0,0,540
ZCTA5 86034,Margin of Error,+/-34,+/-22,+/-18,+/-21,+/-16,+/-12,+/-10,+/-29,+/-15,+/-31,+/-20,+/-22,+/-4,+/-8,+/-13,+/-13,0
ZCTA5 86035,Estimate,75,44,38,62,56,29,24,24,41,30,39,48,13,0,4,0,527
ZCTA5 86035,Margin of Error,+/-23,+/-20,+/-17,+/-24,+/-24,+/-15,+/-13,+/-14,+/-18,+/-15,+/-21,+/-19,+/-8,+/-13,+/-6,+/-13,0
ZCTA5 86036,Estimate,42,0,15,26,23,3,14,19,0,0,30,4,0,0,0,0,176
ZCTA5 86036,Margin of Error,+/-43,+/-13,+/-21,+/-14,+/-29,+/-6,+/-21,+/-31,+/-13,+/-13,+/-32,+/-7,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86038,Estimate,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
ZCTA5 86038,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-11,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86039,Estimate,123,73,29,23,25,23,31,26,23,17,22,9,10,4,0,0,438
ZCTA5 86039,Margin of Error,+/-36,+/-37,+/-16,+/-19,+/-18,+/-21,+/-29,+/-16,+/-27,+/-24,+/-16,+/-9,+/-8,+/-4,+/-13,+/-13,0
ZCTA5 86040,Estimate,216,141,156,66,132,153,230,274,132,229,256,436,275,175,36,131,3038
ZCTA5 86040,Margin of Error,+/-78,+/-86,+/-83,+/-45,+/-73,+/-79,+/-122,+/-133,+/-85,+/-108,+/-99,+/-150,+/-125,+/-76,+/-31,+/-68,0
ZCTA5 86042,Estimate,102,34,35,54,14,15,22,8,9,74,32,23,39,9,23,15,508
ZCTA5 86042,Margin of Error,+/-47,+/-31,+/-25,+/-36,+/-23,+/-16,+/-21,+/-13,+/-14,+/-40,+/-24,+/-25,+/-34,+/-13,+/-24,+/-23,0
ZCTA5 86043,Estimate,69,51,40,17,16,27,21,55,12,36,40,26,8,0,0,5,423
ZCTA5 86043,Margin of Error,+/-43,+/-31,+/-32,+/-17,+/-17,+/-24,+/-19,+/-39,+/-13,+/-27,+/-31,+/-24,+/-12,+/-13,+/-13,+/-8,0
ZCTA5 86044,Estimate,313,90,90,64,67,67,34,39,33,77,57,86,43,3,9,5,1077
ZCTA5 86044,Margin of Error,+/-54,+/-28,+/-30,+/-27,+/-26,+/-24,+/-18,+/-20,+/-16,+/-27,+/-25,+/-28,+/-19,+/-4,+/-10,+/-5,0
ZCTA5 86045,Estimate,428,131,253,119,136,194,148,107,197,270,235,466,210,86,115,21,3116
ZCTA5 86045,Margin of Error,+/-84,+/-49,+/-71,+/-57,+/-65,+/-73,+/-86,+/-56,+/-106,+/-106,+/-84,+/-121,+/-83,+/-44,+/-68,+/-24,0
ZCTA5 86046,Estimate,318,152,104,190,110,144,126,112,120,237,262,371,98,92,107,31,2574
ZCTA5 86046,Margin of Error,+/-123,+/-84,+/-76,+/-82,+/-62,+/-102,+/-82,+/-48,+/-74,+/-92,+/-101,+/-95,+/-56,+/-66,+/-57,+/-25,0
ZCTA5 86047,Estimate,696,384,323,285,286,202,235,272,128,276,394,371,173,104,73,87,4289
ZCTA5 86047,Margin of Error,+/-128,+/-105,+/-96,+/-85,+/-75,+/-62,+/-79,+/-83,+/-59,+/-93,+/-111,+/-115,+/-79,+/-60,+/-64,+/-46,0
ZCTA5 86052,Estimate,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16
ZCTA5 86052,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-10,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86053,Estimate,133,35,26,47,57,43,21,6,28,32,38,41,23,32,5,0,567
ZCTA5 86053,Margin of Error,+/-34,+/-19,+/-15,+/-19,+/-28,+/-22,+/-14,+/-7,+/-16,+/-15,+/-17,+/-21,+/-13,+/-24,+/-7,+/-13,0
ZCTA5 86054,Estimate,98,30,39,58,17,32,20,30,8,25,59,44,11,0,11,0,482
ZCTA5 86054,Margin of Error,+/-30,+/-16,+/-18,+/-21,+/-13,+/-17,+/-15,+/-15,+/-9,+/-14,+/-22,+/-17,+/-10,+/-13,+/-9,+/-13,0
ZCTA5 86301,Estimate,648,673,637,742,586,403,403,693,442,1168,1055,904,583,255,237,226,9655
ZCTA5 86301,Margin of Error,+/-191,+/-210,+/-192,+/-229,+/-174,+/-183,+/-154,+/-190,+/-139,+/-241,+/-254,+/-218,+/-226,+/-93,+/-98,+/-111,0
ZCTA5 86303,Estimate,578,596,628,368,553,465,581,348,340,738,930,682,608,402,285,228,8330
ZCTA5 86303,Margin of Error,+/-157,+/-147,+/-169,+/-119,+/-165,+/-148,+/-165,+/-108,+/-107,+/-192,+/-220,+/-159,+/-162,+/-121,+/-136,+/-100,0
ZCTA5 86305,Estimate,605,307,330,469,385,410,286,358,551,392,896,1074,940,279,356,348,7986
ZCTA5 86305,Margin of Error,+/-165,+/-125,+/-125,+/-138,+/-139,+/-147,+/-103,+/-129,+/-179,+/-133,+/-226,+/-238,+/-210,+/-108,+/-131,+/-140,0
ZCTA5 86313,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 86313,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86314,Estimate,1118,824,906,1095,923,974,858,1035,652,1188,1501,1454,535,135,183,153,13534
ZCTA5 86314,Margin of Error,+/-259,+/-201,+/-233,+/-218,+/-237,+/-267,+/-203,+/-289,+/-193,+/-254,+/-330,+/-266,+/-160,+/-76,+/-94,+/-83,0
ZCTA5 86315,Estimate,55,26,115,114,37,196,58,254,112,461,315,451,226,35,162,0,2617
ZCTA5 86315,Margin of Error,+/-52,+/-41,+/-124,+/-85,+/-46,+/-111,+/-46,+/-158,+/-117,+/-184,+/-119,+/-163,+/-111,+/-35,+/-102,+/-18,0
ZCTA5 86320,Estimate,152,79,94,65,92,78,27,83,0,46,55,30,5,0,0,0,806
ZCTA5 86320,Margin of Error,+/-64,+/-69,+/-44,+/-58,+/-69,+/-49,+/-27,+/-52,+/-13,+/-30,+/-37,+/-36,+/-8,+/-13,+/-13,+/-13,0
ZCTA5 86321,Estimate,22,4,20,8,54,23,11,62,35,102,177,115,104,68,34,6,845
ZCTA5 86321,Margin of Error,+/-32,+/-6,+/-24,+/-12,+/-42,+/-27,+/-18,+/-38,+/-33,+/-55,+/-67,+/-53,+/-54,+/-47,+/-33,+/-8,0
ZCTA5 86322,Estimate,497,365,437,212,312,303,232,324,246,380,335,418,131,150,45,45,4432
ZCTA5 86322,Margin of Error,+/-235,+/-176,+/-213,+/-92,+/-141,+/-142,+/-164,+/-150,+/-124,+/-205,+/-120,+/-153,+/-70,+/-103,+/-36,+/-42,0
ZCTA5 86323,Estimate,376,490,507,502,406,295,377,630,335,631,753,717,374,160,129,67,6749
ZCTA5 86323,Margin of Error,+/-182,+/-198,+/-198,+/-195,+/-181,+/-145,+/-147,+/-175,+/-143,+/-216,+/-226,+/-207,+/-154,+/-102,+/-63,+/-70,0
ZCTA5 86324,Estimate,12,105,195,125,107,115,144,86,118,151,259,151,73,77,42,46,1806
ZCTA5 86324,Margin of Error,+/-11,+/-73,+/-145,+/-106,+/-79,+/-108,+/-154,+/-62,+/-81,+/-107,+/-139,+/-118,+/-60,+/-57,+/-57,+/-55,0
ZCTA5 86325,Estimate,164,172,76,181,154,161,143,145,58,132,298,299,192,110,18,0,2303
ZCTA5 86325,Margin of Error,+/-114,+/-113,+/-100,+/-113,+/-131,+/-115,+/-84,+/-106,+/-58,+/-97,+/-122,+/-144,+/-105,+/-98,+/-30,+/-13,0
ZCTA5 86326,Estimate,912,625,629,816,886,686,576,591,474,526,1035,1085,473,137,330,102,9883
ZCTA5 86326,Margin of Error,+/-281,+/-216,+/-186,+/-230,+/-221,+/-228,+/-165,+/-195,+/-190,+/-169,+/-252,+/-278,+/-183,+/-74,+/-173,+/-65,0
ZCTA5 86327,Estimate,137,287,269,256,145,275,373,222,142,580,465,535,181,235,101,40,4243
ZCTA5 86327,Margin of Error,+/-77,+/-160,+/-162,+/-121,+/-68,+/-117,+/-177,+/-114,+/-91,+/-178,+/-183,+/-195,+/-103,+/-130,+/-69,+/-46,0
ZCTA5 86329,Estimate,26,27,0,0,0,77,0,35,149,0,0,12,0,42,0,0,368
ZCTA5 86329,Margin of Error,+/-40,+/-44,+/-13,+/-13,+/-13,+/-84,+/-13,+/-56,+/-107,+/-13,+/-13,+/-19,+/-13,+/-69,+/-13,+/-13,0
ZCTA5 86331,Estimate,21,110,0,41,88,7,0,13,22,22,15,21,4,8,0,12,384
ZCTA5 86331,Margin of Error,+/-20,+/-132,+/-13,+/-28,+/-121,+/-11,+/-13,+/-14,+/-28,+/-20,+/-17,+/-18,+/-6,+/-12,+/-13,+/-15,0
ZCTA5 86332,Estimate,44,38,67,57,87,79,68,33,33,39,93,63,63,6,19,12,801
ZCTA5 86332,Margin of Error,+/-30,+/-22,+/-35,+/-27,+/-39,+/-35,+/-37,+/-20,+/-24,+/-23,+/-42,+/-30,+/-35,+/-7,+/-21,+/-10,0
ZCTA5 86333,Estimate,254,130,326,172,195,125,156,141,228,226,252,181,87,10,58,0,2541
ZCTA5 86333,Margin of Error,+/-109,+/-97,+/-161,+/-100,+/-118,+/-73,+/-96,+/-75,+/-140,+/-98,+/-150,+/-86,+/-62,+/-17,+/-75,+/-18,0
ZCTA5 86334,Estimate,205,150,139,102,44,133,22,80,102,285,104,140,39,94,11,35,1685
ZCTA5 86334,Margin of Error,+/-92,+/-123,+/-112,+/-124,+/-42,+/-108,+/-31,+/-69,+/-106,+/-163,+/-91,+/-96,+/-41,+/-106,+/-25,+/-41,0
ZCTA5 86335,Estimate,272,110,72,213,157,123,186,54,110,289,279,182,191,26,68,0,2332
ZCTA5 86335,Margin of Error,+/-200,+/-98,+/-38,+/-139,+/-89,+/-96,+/-136,+/-48,+/-88,+/-229,+/-158,+/-114,+/-106,+/-26,+/-81,+/-18,0
