,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85045,Margin of Error,+/-53,+/-18,+/-15,+/-31,+/-24,+/-33,+/-45,+/-42,+/-37,+/-72,+/-73,+/-111,+/-79,+/-74,+/-95,+/-114,0
ZCTA5 85048,Estimate,399,313,329,310,213,271,339,337,423,837,1227,1677,1477,1383,1383,1881,12799
ZCTA5 85048,Margin of Error,+/-135,+/-136,+/-125,+/-131,+/-111,+/-99,+/-127,+/-159,+/-160,+/-214,+/-274,+/-244,+/-218,+/-249,+/-216,+/-251,0
ZCTA5 85050,Estimate,282,479,277,247,291,233,284,491,400,838,1157,1608,1340,743,1001,1073,10744
ZCTA5 85050,Margin of Error,+/-124,+/-146,+/-112,+/-106,+/-131,+/-92,+/-111,+/-195,+/-157,+/-193,+/-251,+/-284,+/-275,+/-164,+/-194,+/-191,0
ZCTA5 85051,Estimate,1163,1215,1100,921,1026,1217,860,711,629,1139,1371,1476,797,298,266,186,14375
ZCTA5 85051,Margin of Error,+/-258,+/-263,+/-221,+/-232,+/-239,+/-304,+/-259,+/-174,+/-159,+/-265,+/-255,+/-296,+/-169,+/-99,+/-127,+/-107,0
ZCTA5 85053,Estimate,717,515,474,681,798,971,534,903,449,872,1044,1498,685,420,193,100,10854
ZCTA5 85053,Margin of Error,+/-208,+/-130,+/-148,+/-215,+/-191,+/-204,+/-143,+/-189,+/-130,+/-184,+/-238,+/-260,+/-154,+/-150,+/-88,+/-83,0
ZCTA5 85054,Estimate,127,13,52,59,67,30,216,226,134,220,415,320,468,294,248,234,3123
ZCTA5 85054,Margin of Error,+/-81,+/-19,+/-40,+/-46,+/-57,+/-32,+/-130,+/-133,+/-66,+/-122,+/-155,+/-136,+/-182,+/-137,+/-97,+/-100,0
ZCTA5 85083,Estimate,116,17,203,81,28,149,121,138,134,320,612,1002,917,694,809,587,5928
ZCTA5 85083,Margin of Error,+/-82,+/-22,+/-121,+/-56,+/-33,+/-98,+/-74,+/-99,+/-64,+/-136,+/-180,+/-260,+/-230,+/-176,+/-224,+/-169,0
ZCTA5 85085,Estimate,263,73,86,258,216,268,294,411,143,437,669,1617,568,570,411,557,6841
ZCTA5 85085,Margin of Error,+/-122,+/-74,+/-61,+/-212,+/-113,+/-132,+/-118,+/-206,+/-95,+/-164,+/-187,+/-322,+/-148,+/-178,+/-132,+/-148,0
ZCTA5 85086,Estimate,412,177,318,172,386,539,534,516,884,1284,1294,1847,1655,1231,1317,1254,13820
ZCTA5 85086,Margin of Error,+/-165,+/-95,+/-157,+/-111,+/-168,+/-240,+/-198,+/-147,+/-319,+/-301,+/-277,+/-349,+/-344,+/-272,+/-259,+/-275,0
ZCTA5 85087,Estimate,99,17,14,60,76,223,137,72,167,138,471,476,404,213,197,119,2883
ZCTA5 85087,Margin of Error,+/-97,+/-21,+/-23,+/-45,+/-52,+/-153,+/-94,+/-54,+/-141,+/-73,+/-186,+/-174,+/-178,+/-120,+/-116,+/-95,0
ZCTA5 85118,Estimate,102,167,98,290,262,443,239,183,203,714,700,687,497,269,401,385,5640
ZCTA5 85118,Margin of Error,+/-56,+/-82,+/-58,+/-112,+/-92,+/-174,+/-112,+/-76,+/-84,+/-169,+/-173,+/-179,+/-177,+/-103,+/-149,+/-157,0
ZCTA5 85119,Estimate,968,323,672,639,655,598,486,384,485,927,750,1130,690,283,216,157,9363
ZCTA5 85119,Margin of Error,+/-306,+/-167,+/-216,+/-214,+/-200,+/-208,+/-174,+/-126,+/-162,+/-246,+/-181,+/-258,+/-232,+/-132,+/-100,+/-80,0
ZCTA5 85120,Estimate,1232,767,977,836,1049,1114,778,835,615,1142,919,847,297,227,142,98,11875
ZCTA5 85120,Margin of Error,+/-272,+/-211,+/-215,+/-223,+/-228,+/-270,+/-214,+/-206,+/-206,+/-262,+/-214,+/-209,+/-128,+/-123,+/-102,+/-104,0
ZCTA5 85121,Estimate,161,35,38,8,55,22,60,47,14,51,39,45,5,26,5,0,611
ZCTA5 85121,Margin of Error,+/-51,+/-20,+/-32,+/-12,+/-35,+/-23,+/-60,+/-53,+/-15,+/-31,+/-41,+/-25,+/-7,+/-34,+/-9,+/-13,0
