,total population
ZCTA5 85648,+/-578
ZCTA5 85648,18884
ZCTA5 85648,(X)
ZCTA5 85650,14324
ZCTA5 85650,+/-890
ZCTA5 85650,14324
ZCTA5 85650,(X)
ZCTA5 85653,13827
ZCTA5 85653,"+/-1,002"
ZCTA5 85653,13827
ZCTA5 85653,(X)
ZCTA5 85654,366
ZCTA5 85654,+/-445
ZCTA5 85654,366
ZCTA5 85654,(X)
ZCTA5 85658,9829
ZCTA5 85658,+/-719
ZCTA5 85658,9829
ZCTA5 85658,(X)
ZCTA5 85701,5047
ZCTA5 85701,+/-448
ZCTA5 85701,5047
ZCTA5 85701,(X)
ZCTA5 85704,30417
ZCTA5 85704,+/-907
ZCTA5 85704,30417
ZCTA5 85704,(X)
ZCTA5 85705,54795
ZCTA5 85705,"+/-2,094"
ZCTA5 85705,54795
ZCTA5 85705,(X)
ZCTA5 85706,56962
ZCTA5 85706,"+/-1,942"
ZCTA5 85706,56962
