,zip,estimate,less than 10K,10K to 15K,15K to 20K,20K to 25K,25K to 30K,30K to 35K,35K to 40K,40K to 45K,45K to 50K,50K to 60K,60K to 75K,75K to 100K,100K to 125K,125K to 150K,150K to 200K,more than 200K,total,income
124,85321,Estimate,320,157,304,133,119,84,69,112,80,192,92,187,39,20,21,9,1938,less than 10K
125,85322,Estimate,26,16,1,18,28,14,27,3,0,6,24,32,9,8,6,0,218,75K to 100K
126,85323,Estimate,1231,662,591,413,631,756,592,579,494,930,1484,1264,618,487,184,39,10955,60K to 75K
127,85324,Estimate,28,65,72,137,191,72,82,102,73,92,135,55,39,0,0,10,1153,25K to 30K
128,85325,Estimate,34,77,46,43,45,43,11,25,21,75,30,5,0,0,10,0,465,10K to 15K
129,85326,Estimate,1053,802,710,604,836,831,687,891,773,952,1688,2582,951,592,430,131,14513,75K to 100K
130,85328,Estimate,23,8,0,0,0,0,12,22,12,12,10,0,0,12,10,0,121,less than 10K
131,85331,Estimate,342,262,143,315,329,99,387,434,432,833,874,1316,1324,1038,1214,1207,10549,100K to 125K
132,85332,Estimate,63,62,16,40,67,67,91,17,61,85,67,16,0,0,0,0,652,35K to 40K
133,85333,Estimate,17,13,10,8,14,27,5,3,21,19,13,13,11,3,0,2,179,30K to 35K
134,85334,Estimate,77,7,25,23,76,22,11,29,26,6,22,0,64,62,0,0,450,less than 10K
135,85335,Estimate,515,396,659,493,807,690,641,435,536,1145,1048,1537,423,403,104,56,9888,75K to 100K
136,85336,Estimate,10,15,12,0,71,13,7,0,0,25,53,10,0,0,0,0,216,25K to 30K
137,85337,Estimate,106,88,42,46,108,75,57,29,38,77,35,57,47,46,11,18,880,25K to 30K
138,85338,Estimate,645,298,514,502,249,751,677,940,662,1494,1630,2506,1697,919,858,229,14571,75K to 100K
139,85339,Estimate,650,348,264,353,322,787,335,489,605,840,1177,1767,1100,793,465,395,10690,75K to 100K
140,85340,Estimate,245,102,250,264,538,299,210,316,290,888,864,1496,1354,772,678,622,9188,75K to 100K
141,85341,Estimate,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,45K to 50K
142,85342,Estimate,41,34,45,63,14,29,53,23,30,27,83,95,25,28,9,0,599,75K to 100K
143,85343,Estimate,0,8,0,0,0,13,4,0,0,0,16,0,0,0,0,0,41,60K to 75K
144,85344,Estimate,333,421,247,304,388,366,236,183,235,241,449,319,218,100,90,57,4187,60K to 75K
145,85345,Estimate,1265,1310,1091,1626,1461,1208,1471,1007,1058,1939,2224,2572,1457,542,365,103,20699,75K to 100K
146,85346,Estimate,149,355,192,233,116,66,131,262,140,462,239,200,88,75,0,0,2708,50K to 60K
147,85347,Estimate,0,13,24,8,4,43,65,16,3,14,12,25,3,13,8,10,261,35K to 40K
148,85348,Estimate,61,78,66,180,97,99,134,78,58,82,170,138,9,7,0,3,1260,20K to 25K
149,85349,Estimate,1060,553,699,868,692,488,579,480,460,634,778,388,144,72,49,0,7944,less than 10K
150,85350,Estimate,615,503,733,370,459,442,386,296,279,394,492,454,215,80,22,50,5790,15K to 20K
151,85351,Estimate,899,1227,1825,1548,1563,1815,1173,1318,1152,1419,1360,1313,511,189,146,71,17529,15K to 20K
152,85352,Estimate,5,21,0,36,13,21,4,4,0,3,4,0,4,3,0,0,118,20K to 25K
153,85353,Estimate,615,283,405,320,567,512,485,715,295,1295,1221,1243,491,263,269,75,9054,50K to 60K
154,85354,Estimate,62,84,175,81,129,116,163,115,53,135,379,180,69,108,50,19,1918,60K to 75K
155,85355,Estimate,50,133,86,0,79,210,121,81,56,193,598,518,352,199,194,66,2936,60K to 75K
156,85356,Estimate,151,72,122,109,150,133,230,97,192,139,147,205,112,32,17,44,1952,35K to 40K
157,85357,Estimate,36,11,32,24,28,37,24,24,17,11,25,0,9,0,0,0,278,30K to 35K
158,85360,Estimate,22,7,10,5,8,0,8,4,7,0,10,4,12,2,0,0,99,less than 10K
159,85361,Estimate,150,37,64,139,142,60,74,156,171,257,203,270,188,23,38,14,1986,75K to 100K
160,85362,Estimate,52,42,47,29,11,30,32,9,9,13,11,32,15,3,0,5,340,less than 10K
161,85363,Estimate,278,191,187,190,128,144,147,70,45,272,231,179,123,82,19,6,2292,less than 10K
162,85364,Estimate,2316,2098,1529,2339,1855,1646,1609,1362,1033,2442,2725,2302,1348,709,293,401,26007,60K to 75K
163,85365,Estimate,959,528,1104,937,892,1358,928,1016,1020,1373,2040,2482,1420,567,680,436,17740,75K to 100K
164,85367,Estimate,515,449,512,616,605,746,460,357,400,863,1391,1252,674,360,320,210,9730,60K to 75K
165,85371,Estimate,21,6,60,56,32,0,0,13,8,0,21,6,9,6,0,0,238,15K to 20K
166,85373,Estimate,440,343,507,544,567,435,442,515,623,875,1013,1428,683,201,175,80,8871,75K to 100K
167,85374,Estimate,1121,838,1081,1282,1448,1199,1200,1102,1387,1979,2522,2379,1733,494,502,162,20429,60K to 75K
168,85375,Estimate,677,540,1066,894,1328,1160,1029,1005,842,1485,2065,1792,1040,560,329,270,16082,60K to 75K
169,85377,Estimate,81,201,87,44,0,106,48,44,18,53,44,224,254,115,180,168,1667,100K to 125K
170,85379,Estimate,356,339,220,380,387,504,461,520,608,1478,1496,2261,2107,796,570,299,12782,75K to 100K
171,85381,Estimate,286,137,355,493,339,344,404,294,467,869,1099,1618,1216,712,645,320,9598,75K to 100K
172,85382,Estimate,489,573,674,636,559,653,1028,932,649,1703,2038,2281,1566,1199,836,594,16410,75K to 100K
173,85383,Estimate,171,176,153,215,116,485,288,444,246,488,1233,2033,1918,1481,1607,1571,12625,75K to 100K
174,85387,Estimate,60,71,158,178,175,204,261,225,279,590,572,936,396,147,155,108,4515,75K to 100K
175,85388,Estimate,276,126,144,255,234,394,298,174,291,881,1133,1668,832,315,278,164,7463,75K to 100K
176,85390,Estimate,276,372,413,353,238,239,202,191,261,334,229,398,362,126,115,82,4191,15K to 20K
177,85392,Estimate,337,195,223,355,586,592,682,627,585,929,1965,1952,1193,716,692,277,11906,60K to 75K
178,85395,Estimate,486,142,112,66,253,436,380,419,373,709,904,1757,936,801,472,615,8861,75K to 100K
179,85396,Estimate,158,132,187,59,139,113,202,227,188,387,501,1021,342,378,212,402,4648,75K to 100K
180,85501,Estimate,392,570,398,360,462,157,190,227,167,551,454,586,381,59,134,25,5113,75K to 100K
181,85530,Estimate,149,10,42,27,36,30,21,0,18,7,48,21,19,0,0,9,437,less than 10K
182,85531,Estimate,0,8,0,8,27,0,0,19,12,7,0,22,8,9,23,7,150,25K to 30K
183,85533,Estimate,48,57,89,100,50,100,38,108,15,194,125,148,65,18,27,21,1203,50K to 60K
184,85534,Estimate,54,109,102,135,109,67,38,91,41,97,46,87,52,45,26,5,1104,20K to 25K
185,85535,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
186,85536,Estimate,0,0,0,23,42,8,9,0,0,36,17,0,0,0,0,0,135,25K to 30K
